,RNTC,Tprobe,Tcalc,A,B,C,T1,R1,T2,R2,T3,R3
0,47457.12890625,24.18066,,,,,,,,,,
1,47457.12890625,24.18066,,,,,,,,,,
2,47457.12890625,24.18085,,,,,,,,,,
3,47457.12890625,24.18085,,,,,,,,,,
4,47457.12890625,24.18085,,,,,,,,,,
5,47457.12890625,24.18085,,,,,,,,,,
6,47457.12890625,24.18079,,,,,,,,,,
7,47457.12890625,24.18079,,,,,,,,,,
8,47457.12890625,24.18079,,,,,,,,,,
9,47457.12890625,24.18079,,,,,,,,,,
10,47457.12890625,24.18079,,,,,,,,,,
11,47643.052837573385,24.16681,,,,,,,,,,
12,47643.052837573385,24.15253,,,,,,,,,,
13,37939.718804920914,29.62064,,,,,,,,,,
14,37939.718804920914,29.62064,,,,,,,,,,
15,34618.3277027027,32.11804,32.118040000000065,-0.0063989955313979155,0.0012368727109983047,-2.8489833637447987e-06,24.16681,47643.052837573385,29.62064,37939.718804920914,32.11804,34618.3277027027
16,32720.049504950493,33.80121,33.8012099999998,-0.007200004620628178,0.0013496273595044786,-3.1798675190893356e-06,24.16681,47643.052837573385,29.62064,37939.718804920914,33.80121,32720.049504950493
17,30279.84,36.13037,36.13036999999974,-0.0066322015293336775,0.0012697001291641175,-2.9453170641805917e-06,24.16681,47643.052837573385,29.62064,37939.718804920914,36.13037,30279.84
18,30031.57894736842,36.35764,36.35764000000006,-0.006390728851952539,0.00123570904563207,-2.8455685295281043e-06,24.16681,47643.052837573385,29.62064,37939.718804920914,36.35764,30031.57894736842
19,29784.89666136725,36.35764,36.617819789568216,-0.006390728851952539,0.00123570904563207,-2.8455685295281043e-06,24.16681,47643.052837573385,29.62064,37939.718804920914,36.35764,30031.57894736842
20,28455.703125,37.66019,37.660190000000114,-0.004109781568269472,0.0009146297811259169,-1.9033453693987331e-06,24.16681,47643.052837573385,29.62064,37939.718804920914,37.66019,28455.703125
21,28218.92523364486,37.88919,37.88919000000004,-0.003981625380964422,0.0008965897787741855,-1.850406080246151e-06,24.16681,47643.052837573385,29.62064,37939.718804920914,37.88919,28218.92523364486
22,27866.511627906977,38.11414,38.11414000000002,-0.0032273639302871082,0.0007904155968624627,-1.538832633238031e-06,24.16681,47643.052837573385,29.62064,37939.718804920914,38.11414,27866.511627906977
23,27633.38485316847,38.32614,38.32613999999995,-0.0030521939831617915,0.0007657576671553975,-1.466472705272662e-06,24.16681,47643.052837573385,29.62064,37939.718804920914,38.32614,27633.38485316847
24,27401.694915254237,38.55096,38.55096000000003,-0.002940901784925002,0.000750091536942409,-1.4204996626378972e-06,24.16681,47643.052837573385,29.62064,37939.718804920914,38.55096,27401.694915254237
25,27056.825153374233,38.77902,38.779019999999946,-0.002328182921584195,0.0006638417040778597,-1.1673952144037188e-06,24.16681,47643.052837573385,29.62064,37939.718804920914,38.77902,27056.825153374233
