43918.64406779661, 25.89944 ,,,,,,,,,,
43918.64406779661, 25.8461 ,,,,,,,,,,
43918.64406779661, 25.8457 ,,,,,,,,,,
41900.552486187844, 25.97873 ,,,,,,,,,,
40924.59016393442, 28.00394 ,,,,,,,,,,
41572.84403669725, 28.93991 ,,,,,,,,,,
39969.72972972973, 29.09525, 29.09524999999968, -0.1425482044537434, 0.020372122132734354, -5.884511614474057e-05, [{ T: 25.89944, R: 43918.64406779661 }, { T: 28.00394, R: 40924.59016393442 }, { T: 29.09525, R: 39969.72972972973 }] 
40764.0, 29.59512, 29.59511999992833, -4.176136964466475, 0.5882361101934329, -0.0017262139178740908, [{ T: 25.89944, R: 43918.64406779661 }, { T: 28.00394, R: 40924.59016393442 }, { T: 29.59512, R: 40764.0 }] 
41409.89010989011, 28.9537, 24.23060515699052, -4.176136964466475, 0.5882361101934329, -0.0017262139178740908, [{ T: 25.89944, R: 43918.64406779661 }, { T: 28.00394, R: 40924.59016393442 }, { T: 29.59512, R: 40764.0 }] 
41736.39705882353, 28.70264, 22.509268793849174, -4.176136964466475, 0.5882361101934329, -0.0017262139178740908, [{ T: 25.89944, R: 43918.64406779661 }, { T: 28.00394, R: 40924.59016393442 }, { T: 29.59512, R: 40764.0 }] 
41736.39705882353, 28.36722, 22.509268793849174, -4.176136964466475, 0.5882361101934329, -0.0017262139178740908, [{ T: 25.89944, R: 43918.64406779661 }, { T: 28.00394, R: 40924.59016393442 }, { T: 29.59512, R: 40764.0 }] 
41900.552486187844, 28.09818, 21.877924720070325, -4.176136964466475, 0.5882361101934329, -0.0017262139178740908, [{ T: 25.89944, R: 43918.64406779661 }, { T: 28.00394, R: 40924.59016393442 }, { T: 29.59512, R: 40764.0 }] 
41900.552486187844, 27.8609, 27.860900000003767, -0.23479988392687454, 0.033256334051362205, -9.607508407154324e-05, [{ T: 25.89944, R: 43918.64406779661 }, { T: 27.8609, R: 41900.552486187844 }, { T: 29.59512, R: 40764.0 }] 
41900.552486187844, 27.6842, 27.68420000000168, -0.3489559088621823, 0.04933064687192209, -0.00014329006862041617, [{ T: 25.89944, R: 43918.64406779661 }, { T: 27.6842, R: 41900.552486187844 }, { T: 29.59512, R: 40764.0 }] 
41900.552486187844, 27.55286, 27.68420000000168, -0.3489559088621823, 0.04933064687192209, -0.00014329006862041617, [{ T: 25.89944, R: 43918.64406779661 }, { T: 27.6842, R: 41900.552486187844 }, { T: 29.59512, R: 40764.0 }] 
42065.31365313653, 27.49106, 27.464399271789034, -0.3489559088621823, 0.04933064687192209, -0.00014329006862041617, [{ T: 25.89944, R: 43918.64406779661 }, { T: 27.6842, R: 41900.552486187844 }, { T: 29.59512, R: 40764.0 }] 
41900.552486187844, 27.39478, 27.68420000000168, -0.3489559088621823, 0.04933064687192209, -0.00014329006862041617, [{ T: 25.89944, R: 43918.64406779661 }, { T: 27.6842, R: 41900.552486187844 }, { T: 29.59512, R: 40764.0 }] 
42065.31365313653, 27.30209, 27.464399271789034, -0.3489559088621823, 0.04933064687192209, -0.00014329006862041617, [{ T: 25.89944, R: 43918.64406779661 }, { T: 27.6842, R: 41900.552486187844 }, { T: 29.59512, R: 40764.0 }] 
41900.552486187844, 27.23694, 27.68420000000168, -0.3489559088621823, 0.04933064687192209, -0.00014329006862041617, [{ T: 25.89944, R: 43918.64406779661 }, { T: 27.6842, R: 41900.552486187844 }, { T: 29.59512, R: 40764.0 }] 
42065.31365313653, 27.20035, 27.464399271789034, -0.3489559088621823, 0.04933064687192209, -0.00014329006862041617, [{ T: 25.89944, R: 43918.64406779661 }, { T: 27.6842, R: 41900.552486187844 }, { T: 29.59512, R: 40764.0 }] 
42065.31365313653, 27.10541, 27.464399271789034, -0.3489559088621823, 0.04933064687192209, -0.00014329006862041617, [{ T: 25.89944, R: 43918.64406779661 }, { T: 27.6842, R: 41900.552486187844 }, { T: 29.59512, R: 40764.0 }] 
42230.68391866913, 27.04514, 27.257688559398275, -0.3489559088621823, 0.04933064687192209, -0.00014329006862041617, [{ T: 25.89944, R: 43918.64406779661 }, { T: 27.6842, R: 41900.552486187844 }, { T: 29.59512, R: 40764.0 }] 
42230.68391866913, 26.99588, 27.257688559398275, -0.3489559088621823, 0.04933064687192209, -0.00014329006862041617, [{ T: 25.89944, R: 43918.64406779661 }, { T: 27.6842, R: 41900.552486187844 }, { T: 29.59512, R: 40764.0 }] 
42230.68391866913, 26.91187, 27.257688559398275, -0.3489559088621823, 0.04933064687192209, -0.00014329006862041617, [{ T: 25.89944, R: 43918.64406779661 }, { T: 27.6842, R: 41900.552486187844 }, { T: 29.59512, R: 40764.0 }] 
42396.666666666664, 26.81592, 27.06400884011731, -0.3489559088621823, 0.04933064687192209, -0.00014329006862041617, [{ T: 25.89944, R: 43918.64406779661 }, { T: 27.6842, R: 41900.552486187844 }, { T: 29.59512, R: 40764.0 }] 
42230.68391866913, 26.80258, 27.257688559398275, -0.3489559088621823, 0.04933064687192209, -0.00014329006862041617, [{ T: 25.89944, R: 43918.64406779661 }, { T: 27.6842, R: 41900.552486187844 }, { T: 29.59512, R: 40764.0 }] 
