,RNTC,Tprobe,Tcalc,A,B,C,T1,R1,T2,R2,T3,R3
0,43918.64406779661,25.89944,,,,,,,,,,
1,43918.64406779661,25.8461,,,,,,,,,,
2,43918.64406779661,25.8457,,,,,,,,,,
3,41900.552486187844,25.97873,,,,,,,,,,
4,40924.59016393442,28.00394,,,,,,,,,,
5,41572.84403669725,28.93991,,,,,,,,,,
6,39969.72972972973,29.09525,29.09524999999968,-0.1425482044537434,0.020372122132734354,-5.884511614474057e-05,25.89944,43918.64406779661,28.00394,40924.59016393442,29.09525,39969.72972972973
7,40764.0,29.59512,29.59511999992833,-4.176136964466475,0.5882361101934329,-0.0017262139178740908,25.89944,43918.64406779661,28.00394,40924.59016393442,29.59512,40764.0
8,41409.89010989011,28.9537,24.23060515699052,-4.176136964466475,0.5882361101934329,-0.0017262139178740908,25.89944,43918.64406779661,28.00394,40924.59016393442,29.59512,40764.0
9,41736.39705882353,28.70264,22.509268793849174,-4.176136964466475,0.5882361101934329,-0.0017262139178740908,25.89944,43918.64406779661,28.00394,40924.59016393442,29.59512,40764.0
10,41736.39705882353,28.36722,22.509268793849174,-4.176136964466475,0.5882361101934329,-0.0017262139178740908,25.89944,43918.64406779661,28.00394,40924.59016393442,29.59512,40764.0
11,41900.552486187844,28.09818,21.877924720070325,-4.176136964466475,0.5882361101934329,-0.0017262139178740908,25.89944,43918.64406779661,28.00394,40924.59016393442,29.59512,40764.0
12,41900.552486187844,27.8609,27.860900000003767,-0.23479988392687454,0.033256334051362205,-9.607508407154324e-05,25.89944,43918.64406779661,27.8609,41900.552486187844,29.59512,40764.0
13,41900.552486187844,27.6842,27.68420000000168,-0.3489559088621823,0.04933064687192209,-0.00014329006862041617,25.89944,43918.64406779661,27.6842,41900.552486187844,29.59512,40764.0
14,41900.552486187844,27.55286,27.68420000000168,-0.3489559088621823,0.04933064687192209,-0.00014329006862041617,25.89944,43918.64406779661,27.6842,41900.552486187844,29.59512,40764.0
15,42065.31365313653,27.49106,27.464399271789034,-0.3489559088621823,0.04933064687192209,-0.00014329006862041617,25.89944,43918.64406779661,27.6842,41900.552486187844,29.59512,40764.0
16,41900.552486187844,27.39478,27.68420000000168,-0.3489559088621823,0.04933064687192209,-0.00014329006862041617,25.89944,43918.64406779661,27.6842,41900.552486187844,29.59512,40764.0
17,42065.31365313653,27.30209,27.464399271789034,-0.3489559088621823,0.04933064687192209,-0.00014329006862041617,25.89944,43918.64406779661,27.6842,41900.552486187844,29.59512,40764.0
18,41900.552486187844,27.23694,27.68420000000168,-0.3489559088621823,0.04933064687192209,-0.00014329006862041617,25.89944,43918.64406779661,27.6842,41900.552486187844,29.59512,40764.0
19,42065.31365313653,27.20035,27.464399271789034,-0.3489559088621823,0.04933064687192209,-0.00014329006862041617,25.89944,43918.64406779661,27.6842,41900.552486187844,29.59512,40764.0
20,42065.31365313653,27.10541,27.464399271789034,-0.3489559088621823,0.04933064687192209,-0.00014329006862041617,25.89944,43918.64406779661,27.6842,41900.552486187844,29.59512,40764.0
21,42230.68391866913,27.04514,27.257688559398275,-0.3489559088621823,0.04933064687192209,-0.00014329006862041617,25.89944,43918.64406779661,27.6842,41900.552486187844,29.59512,40764.0
22,42230.68391866913,26.99588,27.257688559398275,-0.3489559088621823,0.04933064687192209,-0.00014329006862041617,25.89944,43918.64406779661,27.6842,41900.552486187844,29.59512,40764.0
23,42230.68391866913,26.91187,27.257688559398275,-0.3489559088621823,0.04933064687192209,-0.00014329006862041617,25.89944,43918.64406779661,27.6842,41900.552486187844,29.59512,40764.0
24,42396.666666666664,26.81592,27.06400884011731,-0.3489559088621823,0.04933064687192209,-0.00014329006862041617,25.89944,43918.64406779661,27.6842,41900.552486187844,29.59512,40764.0
25,42230.68391866913,26.80258,27.257688559398275,-0.3489559088621823,0.04933064687192209,-0.00014329006862041617,25.89944,43918.64406779661,27.6842,41900.552486187844,29.59512,40764.0
26,42396.666666666664,26.71912,27.06400884011731,-0.3489559088621823,0.04933064687192209,-0.00014329006862041617,25.89944,43918.64406779661,27.6842,41900.552486187844,29.59512,40764.0
27,42396.666666666664,26.71912,27.06400884011731,-0.3489559088621823,0.04933064687192209,-0.00014329006862041617,25.89944,43918.64406779661,27.6842,41900.552486187844,29.59512,40764.0
28,42396.666666666664,26.66959,27.06400884011731,-0.3489559088621823,0.04933064687192209,-0.00014329006862041617,25.89944,43918.64406779661,27.6842,41900.552486187844,29.59512,40764.0
29,42563.26530612245,26.62241,26.8833049735357,-0.3489559088621823,0.04933064687192209,-0.00014329006862041617,25.89944,43918.64406779661,27.6842,41900.552486187844,29.59512,40764.0
30,42563.26530612245,26.62241,26.8833049735357,-0.3489559088621823,0.04933064687192209,-0.00014329006862041617,25.89944,43918.64406779661,27.6842,41900.552486187844,29.59512,40764.0
31,42563.26530612245,26.57629,26.8833049735357,-0.3489559088621823,0.04933064687192209,-0.00014329006862041617,25.89944,43918.64406779661,27.6842,41900.552486187844,29.59512,40764.0
32,42563.26530612245,26.52557,26.8833049735357,-0.3489559088621823,0.04933064687192209,-0.00014329006862041617,25.89944,43918.64406779661,27.6842,41900.552486187844,29.59512,40764.0
33,42730.483271375466,26.52472,26.71552566155958,-0.3489559088621823,0.04933064687192209,-0.00014329006862041617,25.89944,43918.64406779661,27.6842,41900.552486187844,29.59512,40764.0
